Hand:,RIGHT
,"r2c1-5-6-5,r1c1-5-7-5,r1c2-5-8-5,r2c2-5-8-4,r2c3-5-8-3,r2c4-5-8-2"
ID,Timestamp,isSubmitting,isCheckingCube,CubesInShape,CurrentDragging,CurrentPlacing
,48.76712,0,0,1,,
,48.76885,0,0,1,,
,48.77,0,0,1,,
,48.77107,0,0,1,,
,48.77211,0,0,1,,
,48.77332,0,0,1,,
,48.77471,0,0,1,,
,48.77579,0,0,1,,
,48.77688,0,0,1,,
,48.778,0,0,1,,
,48.77907,0,0,1,,
,48.78012,0,0,1,,
,48.78175,0,0,1,,
,48.78283,0,0,1,,
,48.78388,0,0,1,,
,48.78498,0,0,1,,
,48.78605,0,0,1,,
,48.78712,0,0,1,,
,48.78816,0,0,1,,
,48.78923,0,0,1,,
,48.79027,0,0,1,,
,48.79135,0,0,1,,
,48.79256,0,0,1,,
,48.79362,0,0,1,,
,48.79466,0,0,1,,
,48.7957,0,0,1,,
,48.79678,0,0,1,,
,48.79788,0,0,1,,
,48.799,0,0,1,,
,48.80008,0,0,1,,
,48.80117,0,0,1,,
,48.80222,0,0,1,,
,48.80325,0,0,1,,
,48.80433,0,0,1,,
,48.80562,0,0,1,,
,48.80666,0,0,1,,
,48.80748,0,0,1,,
,48.8083,0,0,1,,
,48.80971,0,0,1,,
,48.81078,0,0,1,,
,48.81187,0,0,1,,
,48.81295,0,0,1,,
,48.81403,0,0,1,,
,48.81508,0,0,1,,
,48.81614,0,0,1,,
,48.81719,0,0,1,,
,48.81823,0,0,1,,
,48.81931,0,0,1,,
,48.82058,0,0,1,,
,48.82187,0,0,1,,
,48.82294,0,0,1,,
,48.82401,0,0,1,,
,48.82505,0,0,1,,
,48.82609,0,0,1,,
,48.82702,0,0,1,,
,48.82809,0,0,1,,
,48.82923,0,0,1,,
,48.83036,0,0,1,,
,48.83174,0,0,1,,
,48.83279,0,0,1,,
,48.83384,0,0,1,,
,48.8349,0,0,1,,
,48.83596,0,0,1,,
,48.837,0,0,1,,
,48.83807,0,0,1,,
,48.83912,0,0,1,,
,48.84016,0,0,1,,
,48.84166,0,0,1,,
,48.84272,0,0,1,,
,48.84378,0,0,1,,
,48.84483,0,0,1,,
,48.84599,0,0,1,,
,48.84705,0,0,1,,
,48.84809,0,0,1,,
,48.84954,0,0,1,,
,48.85061,0,0,1,,
,48.85166,0,0,1,,
