Hand:,RIGHT
,"r2c1-1-3-4,r1c1-1-3-5"
ID,Timestamp,isSubmitting,isCheckingCube,CubesInShape,CurrentDragging,CurrentPlacing
,3.816359,0,0,0,,
,3.816359,0,0,1,,
,3.836359,0,0,1,,
,3.838185,0,0,1,,
,3.839478,0,0,1,,
,3.840516,0,0,1,,
,3.841875,0,0,1,,
,3.842855,0,0,1,,
,3.844014,0,0,1,,
,3.844991,0,0,1,,
,3.845979,0,0,1,,
,3.847023,0,0,1,,
,3.848002,0,0,1,,
,3.848961,0,0,1,,
,3.849905,0,0,1,,
,3.851091,0,0,1,,
,3.8522,0,0,1,,
,3.853144,0,0,1,,
,3.854404,0,0,1,,
,3.855529,0,0,1,,
,3.856673,0,0,1,,
,3.857645,0,0,1,,
,3.859062,0,0,1,,
,3.8601,0,0,1,,
,3.861424,0,0,1,,
,3.862581,0,0,1,,
,3.863534,0,0,1,,
,3.864501,0,0,1,,
,3.865665,0,0,1,,
,3.86662,0,0,1,,
,3.867632,0,0,1,,
,3.868561,0,0,1,,
,3.869774,0,0,1,,
,3.87072,0,0,1,,
,3.871883,0,0,1,,
,3.872917,0,0,1,,
,3.87387,0,0,1,,
,3.875043,0,0,1,,
,3.876362,0,0,1,,
,3.877458,0,0,1,,
,3.878401,0,0,1,,
,3.879416,0,0,1,,
,3.880356,0,0,1,,
,3.881649,0,0,1,,
,3.882815,0,0,1,,
,3.883861,0,0,1,,
,3.884815,0,0,1,,
,3.886563,0,0,1,,
,3.887856,0,0,1,,
,3.888921,0,0,1,,
,3.889948,0,0,1,,
,3.891103,0,0,1,,
,3.892329,0,0,1,,
,3.893304,0,0,1,,
,3.894404,0,0,1,,
,3.89554,0,0,1,,
,3.896911,0,0,1,,
,3.898443,0,0,1,,
,3.899979,0,0,1,,
,3.900872,0,0,1,,
,3.902256,0,0,1,,
,3.903284,0,0,1,,
,3.904139,0,0,1,,
,3.90497,0,0,1,,
,3.905853,0,0,1,,
,3.906935,0,0,1,,
,3.908013,0,0,1,,
,3.909286,0,0,1,,
,3.910158,0,0,1,,
,3.910997,0,0,1,,
,3.912258,0,0,1,,
,3.913236,0,0,1,,
,3.914198,0,0,1,,
,3.915257,0,0,1,,
,3.916121,0,0,1,,
,3.917108,0,0,1,,
,3.918278,0,0,1,,
,3.919317,0,0,1,,
,3.920299,0,0,1,,
,3.921557,0,0,1,,
,3.922541,0,0,1,,
,3.923546,0,0,1,,
,3.924552,0,0,1,,
,3.92555,0,0,1,,
,3.926471,0,0,1,,
,3.927554,0,0,1,,
,3.928541,0,0,1,,
,3.929561,0,0,1,,
,3.930562,0,0,1,,
,3.931577,0,0,1,,
,3.932725,0,0,1,,
,3.93396,0,0,1,,
,3.935166,0,0,1,,
,3.936253,0,0,1,,
,3.937248,0,0,1,,
,3.938287,0,0,1,,
,3.939287,0,0,1,,
,3.940264,0,0,1,,
,3.94155,0,0,1,,
,3.94252,0,0,1,,
,3.943555,0,0,1,,
,3.944542,0,0,1,,
,3.945508,0,0,1,,
,3.946491,0,0,1,,
,3.947503,0,0,1,,
,3.948612,0,0,1,,
,3.949654,0,0,1,,
,3.950692,0,0,1,,
,3.951736,0,0,1,,
,3.952726,0,0,1,,
,3.953693,0,0,1,,
,3.954673,0,0,1,,
,3.955702,0,0,1,,
,3.956671,0,0,1,,
,3.957629,0,0,1,,
,3.958696,0,0,1,,
,3.959813,0,0,1,,
,3.960841,0,0,1,,
,3.962233,0,0,1,,
,3.963256,0,0,1,,
,3.964265,0,0,1,,
,3.965346,0,0,1,,
,3.966362,0,0,1,,
,3.967384,0,0,1,,
,3.968363,0,0,1,,
,3.96939,0,0,1,,
,3.970384,0,0,1,,
,3.971391,0,0,1,,
,3.972359,0,0,1,,
,3.973334,0,0,1,,
,3.974183,0,0,1,,
,3.975011,0,0,1,,
,3.976011,0,0,1,,
,3.976919,0,0,1,,
,3.978008,0,0,1,,
,3.97913,0,0,1,,
,3.980298,0,0,1,,
,3.981604,0,0,1,,
,3.982629,0,0,1,,
,3.983796,0,0,1,,
,3.98483,0,0,1,,
,3.985859,0,0,1,,
,3.986926,0,0,1,,
,3.987977,0,0,1,,
,3.988945,0,0,1,,
,3.989963,0,0,1,,
,3.991065,0,0,1,,
,3.992165,0,0,1,,
,3.993314,0,0,1,,
,3.994343,0,0,1,,
,3.995404,0,0,1,,
,3.996443,0,0,1,,
,3.997442,0,0,1,,
,3.998458,0,0,1,,
,3.999474,0,0,1,,
,4.000296,0,0,1,,
,4.001584,0,0,1,,
,4.002657,0,0,1,,
,4.003729,0,0,1,,
,4.004752,0,0,1,,
,4.005784,0,0,1,,
,4.006761,0,0,1,,
,4.007782,0,0,1,,
,4.008757,0,0,1,,
,4.009724,0,0,1,,
,4.010746,0,0,1,,
,4.011817,0,0,1,,
,4.012961,0,0,1,,
,4.013983,0,0,1,,
,4.014991,0,0,1,,
,4.015981,0,0,1,,
,4.016951,0,0,1,,
,4.017988,0,0,1,,
,4.019059,0,0,1,,
,4.020308,0,0,1,,
,4.021788,0,0,1,,
,4.022837,0,0,1,,
,4.023875,0,0,1,,
,4.024945,0,0,1,,
,4.025941,0,0,1,,
,4.026959,0,0,1,,
,4.028001,0,0,1,,
,4.029266,0,0,1,,
,4.030312,0,0,1,,
,4.031368,0,0,1,,
,4.032392,0,0,1,,
,4.033393,0,0,1,,
,4.034369,0,0,1,,
,4.035378,0,0,1,,
,4.036419,0,0,1,,
,4.037419,0,0,1,,
,4.038411,0,0,1,,
,4.039419,0,0,1,,
,4.040533,0,0,1,,
,4.0418,0,0,1,,
,4.042836,0,0,1,,
,4.043879,0,0,1,,
,4.044862,0,0,1,,
,4.046037,0,0,1,,
,4.047418,0,0,1,,
,4.048478,0,0,1,,
,4.049461,0,0,1,,
,4.050448,0,0,1,,
,4.051475,0,0,1,,
,4.0525,0,0,1,,
,4.05349,0,0,1,,
,4.054498,0,0,1,,
,4.055506,0,0,1,,
,4.056526,0,0,1,,
,4.057534,0,0,1,,
,4.058523,0,0,1,,
,4.062784,0,0,1,,
,4.064202,0,0,1,,
,4.065246,0,0,1,,
,4.066293,0,0,1,,
,4.067315,0,0,1,,
,4.068323,0,0,1,,
,4.069305,0,0,1,,
,4.070316,0,0,1,,
,4.071341,0,0,1,,
,4.072334,0,0,1,,
,4.073371,0,0,1,,
,4.07437,0,0,1,,
,4.075395,0,0,1,,
,4.076402,0,0,1,,
,4.077408,0,0,1,,
,4.078424,0,0,1,,
,4.079437,0,0,1,,
,4.080437,0,0,1,,
,4.081764,0,0,1,,
,4.082764,0,0,1,,
,4.083777,0,0,1,,
,4.084745,0,0,1,,
,4.085745,0,0,1,,
,4.08677,0,0,1,,
,4.087795,0,0,1,,
,4.088803,0,0,1,,
,4.089879,0,0,1,,
,4.090985,0,0,1,,
,4.092145,0,0,1,,
,4.093388,0,0,1,,
,4.094409,0,0,1,,
,4.095426,0,0,1,,
,4.096429,0,0,1,,
,4.097424,0,0,1,,
,4.098443,0,0,1,,
,4.099483,0,0,1,,
,4.100483,0,0,1,,
,4.101757,0,0,1,,
,4.102772,0,0,1,,
,4.103781,0,0,1,,
,4.104749,0,0,1,,
,4.1056,0,0,1,,
,4.1067,0,0,1,,
,4.10774,0,0,1,,
,4.10877,0,0,1,,
,4.109759,0,0,1,,
,4.110767,0,0,1,,
,4.111798,0,0,1,,
,4.112811,0,0,1,,
,4.113805,0,0,1,,
,4.114944,0,0,1,,
,4.115926,0,0,1,,
,4.11695,0,0,1,,
,4.11798,0,0,1,,
,4.119,0,0,1,,
,4.119972,0,0,1,,
,4.120781,0,0,1,,
,4.122387,0,0,1,,
,4.123468,0,0,1,,
,4.124493,0,0,1,,
,4.125509,0,0,1,,
,4.126488,0,0,1,,
,4.127518,0,0,1,,
,4.1285,0,0,1,,
,4.129492,0,0,1,,
,4.130511,0,0,1,,
,4.131573,0,0,1,,
,4.132442,0,0,1,,
,4.133467,0,0,1,,
,4.13471,0,0,1,,
,4.135546,0,0,1,,
,4.136506,0,0,1,,
,4.137493,0,0,1,,
,4.138749,0,0,1,,
,4.139745,0,0,1,,
,4.140744,0,0,1,,
,4.142226,0,0,1,,
,4.143289,0,0,1,,
,4.144289,0,0,1,,
,4.145267,0,0,1,,
,4.146133,0,0,1,,
,4.14695,0,0,1,,
,4.147924,0,0,1,,
,4.149003,0,0,1,,
,4.150254,0,0,1,,
,4.151313,0,0,1,,
,4.152363,0,0,1,,
,4.153374,0,0,1,,
,4.1544,0,0,1,,
,4.155419,0,0,1,,
,4.156405,0,0,1,,
,4.157398,0,0,1,,
,4.158555,0,0,1,,
,4.159613,0,0,1,,
,4.160735,0,0,1,,
,4.16211,0,0,1,,
,4.163287,0,0,1,,
,4.164289,0,0,1,,
,4.165278,0,0,1,,
,4.166141,0,0,1,,
,4.166981,0,0,1,,
,4.167973,0,0,1,,
,4.168992,0,0,1,,
,4.170398,0,0,1,,
,4.17147,0,0,1,,
,4.172295,0,0,1,,
,4.173285,0,0,1,,
,4.174293,0,0,1,,
,4.175314,0,0,1,,
,4.176189,0,0,1,,
,4.177042,0,0,1,,
,4.178148,0,0,1,,
,4.17915,0,0,1,,
,4.180251,0,0,1,,
,4.18151,0,0,1,,
,4.182501,0,0,1,,
,4.18362,0,0,1,,
,4.18463,0,0,1,,
,4.185497,0,0,1,,
,4.186369,0,0,1,,
,4.187387,0,0,1,,
,4.188219,0,0,1,,
,4.18926,0,0,1,,
,4.190146,0,0,1,,
,4.190989,0,0,1,,
,4.191814,0,0,1,,
,4.192834,0,0,1,,
,4.193657,0,0,1,,
,4.194661,0,0,1,,
,4.195666,0,0,1,,
,4.196486,0,0,1,,
,4.197493,0,0,1,,
,4.198356,0,0,1,,
,4.199169,0,0,1,,
,4.199977,0,0,1,,
,4.200791,0,0,1,,
,4.201944,0,0,1,,
,4.20297,0,0,1,,
,4.203872,0,0,1,,
,4.204908,0,0,1,,
,4.205903,0,0,1,,
,4.206724,0,0,1,,
,4.207537,0,0,1,,
,4.208363,0,0,1,,
,4.209166,0,0,1,,
,4.209971,0,0,1,,
,4.210786,0,0,1,,
,4.211617,0,0,1,,
,4.212477,0,0,1,,
,4.213302,0,0,1,,
,4.214101,0,0,1,,
,4.214914,0,0,1,,
,4.215719,0,0,1,,
,4.216587,0,0,1,,
,4.217424,0,0,1,,
,4.218273,0,0,1,,
,4.219102,0,0,1,,
,4.219982,0,0,1,,
,4.220825,0,0,1,,
,4.221988,0,0,1,,
,4.222813,0,0,1,,
,4.223616,0,0,1,,
,4.224426,0,0,1,,
,4.22524,0,0,1,,
,4.226076,0,0,1,,
,4.226954,0,0,1,,
,4.227978,0,0,1,,
,4.228825,0,0,1,,
,4.229684,0,0,1,,
,4.230514,0,0,1,,
,4.231336,0,0,1,,
,4.232155,0,0,1,,
,4.233001,0,0,1,,
,4.233917,0,0,1,,
,4.234747,0,0,1,,
,4.235642,0,0,1,,
,4.236542,0,0,1,,
,4.237378,0,0,1,,
,4.238257,0,0,1,,
,4.239134,0,0,1,,
,4.240118,0,0,1,,
,4.24122,0,0,1,,
,4.242048,0,0,1,,
,4.242869,0,0,1,,
,4.243701,0,0,1,,
,4.244522,0,0,1,,
,4.245332,0,0,1,,
,4.246151,0,0,1,,
,4.247042,0,0,1,,
,4.24788,0,0,1,,
,4.248702,0,0,1,,
,4.249669,0,0,1,,
,4.250621,0,0,1,,
,4.251446,0,0,1,,
,4.252259,0,0,1,,
,4.253089,0,0,1,,
,4.253938,0,0,1,,
,4.25474,0,0,1,,
,4.25557,0,0,1,,
,4.256394,0,0,1,,
,4.25721,0,0,1,,
,4.258018,0,0,1,,
,4.258846,0,0,1,,
,4.259653,0,0,1,,
,4.260458,0,0,1,,
,4.26155,0,0,1,,
,4.262374,0,0,1,,
,4.263182,0,0,1,,
,4.264026,0,0,1,,
,4.264973,0,0,1,,
,4.265996,0,0,1,,
,4.266833,0,0,1,,
,4.267749,0,0,1,,
,4.268602,0,0,1,,
,4.269428,0,0,1,,
,4.270245,0,0,1,,
,4.271073,0,0,1,,
,4.271881,0,0,1,,
,4.272698,0,0,1,,
,4.273527,0,0,1,,
,4.274349,0,0,1,,
,4.275154,0,0,1,,
,4.278579,0,0,1,,
,4.279421,0,0,1,,
,4.280253,0,0,1,,
,4.281532,0,0,1,,
,4.282383,0,0,1,,
,4.283203,0,0,1,,
,4.284049,0,0,1,,
,4.285077,0,0,1,,
,4.285898,0,0,1,,
,4.28671,0,0,1,,
,4.287525,0,0,1,,
,4.288379,0,0,1,,
,4.289258,0,0,1,,
,4.2901,0,0,1,,
,4.290941,0,0,1,,
,4.292024,0,0,1,,
,4.292839,0,0,1,,
,4.294051,0,0,1,,
,4.294871,0,0,1,,
,4.295901,0,0,1,,
,4.296731,0,0,1,,
,4.29776,0,0,1,,
,4.29864,0,0,1,,
,4.299557,0,0,1,,
,4.300375,0,0,1,,
,4.301616,0,0,1,,
,4.302433,0,0,1,,
,4.303458,0,0,1,,
,4.304317,0,0,1,,
,4.30515,0,0,1,,
,4.306002,0,0,1,,
,4.307029,0,0,1,,
,4.307899,0,0,1,,
,4.308774,0,0,1,,
,4.309607,0,0,1,,
,4.310621,0,0,1,,
,4.311452,0,0,1,,
,4.312656,0,0,1,,
,4.313688,0,0,1,,
,4.314548,0,0,1,,
,4.315653,0,0,1,,
,4.316565,0,0,1,,
,4.317633,0,0,1,,
,4.318455,0,0,1,,
,4.319312,0,0,1,,
,4.320325,0,0,1,,
,4.321429,0,0,1,,
,4.32261,0,0,1,,
,4.323532,0,0,1,,
,4.324523,0,0,1,,
,4.325424,0,0,1,,
,4.326442,0,0,1,,
,4.32737,0,0,1,,
,4.328376,0,0,1,,
,4.329231,0,0,1,,
,4.330043,0,0,1,,
,4.330869,0,0,1,,
,4.331893,0,0,1,,
,4.33288,0,0,1,,
,4.333888,0,0,1,,
,4.334899,0,0,1,,
,4.335714,0,0,1,,
,4.336708,0,0,1,,
,4.337701,0,0,1,,
,4.338696,0,0,1,,
,4.339517,0,0,1,,
,4.340509,0,0,1,,
,4.341646,0,0,1,,
,4.342812,0,0,1,,
,4.343835,0,0,1,,
,4.344804,0,0,1,,
,4.345662,0,0,1,,
,4.346639,0,0,1,,
,4.347542,0,0,1,,
,4.348544,0,0,1,,
,4.349545,0,0,1,,
,4.350372,0,0,1,,
,4.35145,0,0,1,,
,4.352435,0,0,1,,
,4.353255,0,0,1,,
,4.354271,0,0,1,,
,4.355096,0,0,1,,
,4.355906,0,0,1,,
,4.356763,0,0,1,,
