Hand:,RIGHT
,"r2c1-5-6-5,r1c1-5-7-5,r1c2-5-4-5,r2c2-5-4-4"
ID,Timestamp,isSubmitting,isCheckingCube,CubesInShape,CurrentDragging,CurrentPlacing
,8.776757,0,0,0,,
,8.776757,0,0,1,,
,8.796757,0,0,1,,
,8.79803,0,0,1,,
,8.798968,0,0,1,,
,8.7999,0,0,1,,
,8.800819,0,0,1,,
,8.801899,0,0,1,,
,8.802811,0,0,1,,
,8.803877,0,0,1,,
,8.804838,0,0,1,,
,8.805829,0,0,1,,
,8.806758,0,0,1,,
,8.807667,0,0,1,,
,8.808582,0,0,1,,
,8.80949,0,0,1,,
,8.810473,0,0,1,,
,8.811515,0,0,1,,
,8.812449,0,0,1,,
,8.813371,0,0,1,,
,8.814281,0,0,1,,
,8.815179,0,0,1,,
,8.816089,0,0,1,,
,8.816996,0,0,1,,
,8.817893,0,0,1,,
,8.818819,0,0,1,,
,8.819745,0,0,1,,
,8.820661,0,0,1,,
,8.822728,0,0,1,,
,8.823699,0,0,1,,
,8.824637,0,0,1,,
,8.8256,0,0,1,,
,8.826564,0,0,1,,
,8.827513,0,0,1,,
,8.828451,0,0,1,,
,8.829385,0,0,1,,
,8.830312,0,0,1,,
,8.83124,0,0,1,,
,8.832186,0,0,1,,
,8.833121,0,0,1,,
,8.83405,0,0,1,,
,8.835112,0,0,1,,
,8.83605,0,0,1,,
,8.83699,0,0,1,,
,8.837928,0,0,1,,
,8.838901,0,0,1,,
,8.839887,0,0,1,,
,8.840848,0,0,1,,
,8.841989,0,0,1,,
,8.843014,0,0,1,,
,8.844232,0,0,1,,
,8.845206,0,0,1,,
,8.846249,0,0,1,,
,8.847209,0,0,1,,
,8.848145,0,0,1,,
,8.849096,0,0,1,,
,8.850037,0,0,1,,
,8.851031,0,0,1,,
,8.8521,0,0,1,,
,8.853059,0,0,1,,
,8.854,0,0,1,,
,8.855545,0,0,1,,
,8.856899,0,0,1,,
,8.858169,0,0,1,,
,8.859016,0,0,1,,
,8.85986,0,0,1,,
,8.860703,0,0,1,,
,8.862026,0,0,1,,
,8.86309,0,0,1,,
,8.863927,0,0,1,,
,8.864756,0,0,1,,
,8.865587,0,0,1,,
,8.866417,0,0,1,,
,8.867541,0,0,1,,
,8.868459,0,0,1,,
,8.869328,0,0,1,,
,8.870228,0,0,1,,
,8.871158,0,0,1,,
,8.871997,0,0,1,,
,8.872829,0,0,1,,
,8.873668,0,0,1,,
,8.874502,0,0,1,,
,8.875339,0,0,1,,
,8.876176,0,0,1,,
,8.877007,0,0,1,,
,8.877839,0,0,1,,
,8.878687,0,0,1,,
,8.879519,0,0,1,,
,8.880347,0,0,1,,
,8.88147,0,0,1,,
,8.882302,0,0,1,,
,8.883369,0,0,1,,
,8.884288,0,0,1,,
,8.886586,0,0,1,,
,8.887916,0,0,1,,
,8.888853,0,0,1,,
,8.889715,0,0,1,,
,8.890551,0,0,1,,
,8.891378,0,0,1,,
,8.892521,0,0,1,,
,8.89336,0,0,1,,
,8.894645,0,0,1,,
,8.89553,0,0,1,,
,8.896376,0,0,1,,
,8.897534,0,0,1,,
,8.898398,0,0,1,,
,8.899265,0,0,1,,
,8.90009,0,0,1,,
,8.901496,0,0,1,,
,8.902349,0,0,1,,
,8.903194,0,0,1,,
,8.904037,0,0,1,,
,8.904877,0,0,1,,
,8.906355,0,0,1,,
,8.907294,0,0,1,,
,8.908153,0,0,1,,
,8.909043,0,0,1,,
,8.909906,0,0,1,,
,8.910734,0,0,1,,
,8.911564,0,0,1,,
,8.912402,0,0,1,,
,8.913237,0,0,1,,
,8.914076,0,0,1,,
,8.915581,0,0,1,,
,8.916602,0,0,1,,
